이름,가격,면적 및 층수,센터명칭,공급면적,전용면적,현재층,총층,공급종류,보증금,월세,매매가
지식산업센터,500/40,"73/36m², 7/10층",더플랫폼R,73,36,7,10,월세,500,40.0,
지식산업센터,"2,000/150","184/92m², 2/10층",더플랫폼R,184,92,2,10,월세,"2,000",150.0,
지식산업센터,500/40,"81/41m², 4/10층",더플랫폼R,81,41,4,10,월세,500,40.0,
지식산업센터,"1,200/120","216/108m², 7/10층",광양프런티어밸리5차지식산업센터,216,108,7,10,월세,"1,200",120.0,
지식산업센터,200/25,"40/22m², B2/10층",더플랫폼R,40,22,B2,10,월세,200,25.0,
지식산업센터,500/50,"80/40m², 3/10층",더플랫폼R,80,40,3,10,월세,500,50.0,
지식산업센터,"1,600/160","272/137m², 6/10층",더플랫폼R,272,137,6,10,월세,"1,600",160.0,
지식산업센터,500/43,"80/39m², 4/10층",골든IT타워,80,39,4,10,월세,500,43.0,
지식산업센터,500/45,"81/39m², 8/10층",우성테크노파크Ⅰ,81,39,8,10,월세,500,45.0,
지식산업센터,500/40,"80/39m², 9/10층",우성테크노파크Ⅰ,80,39,9,10,월세,500,40.0,
지식산업센터,600/50,"60/30m², 4/10층",더플랫폼R,60,30,4,10,월세,600,50.0,
지식산업센터,"1,000/55","102/50m², 6/10층",우성테크노파크Ⅰ,102,50,6,10,월세,"1,000",55.0,
지식산업센터,600/60,"61/30m², 2/10층",더플랫폼R,61,30,2,10,월세,600,60.0,
지식산업센터,"1,000/70","200/100m², B2/10층",광양프런티어밸리5차지식산업센터,200,100,B2,10,월세,"1,000",70.0,
지식산업센터,500/45,"81/41m², 4/10층",더플랫폼R,81,41,4,10,월세,500,45.0,
지식산업센터,"1,600/160","272/137m², 6/10층",더플랫폼R,272,137,6,10,월세,"1,600",160.0,
지식산업센터,"1,000/90","169/83m², 6/10층",우성테크노파크Ⅰ,169,83,6,10,월세,"1,000",90.0,
지식산업센터,"1,200/120","216/108m², 7/10층",광양프런티어밸리5차지식산업센터,216,108,7,10,월세,"1,200",120.0,
지식산업센터,"1,000/77","127/62m², 8/10층",골든IT타워,127,62,8,10,월세,"1,000",77.0,
지식산업센터,"1,000/80","139/68m², 8/10층",우성테크노파크Ⅰ,139,68,8,10,월세,"1,000",80.0,
지식산업센터,500/40,"50/25m², 8/10층",광양프런티어밸리5차지식산업센터,50,25,8,10,월세,500,40.0,
지식산업센터,"1,500/150","196/98m², 3/10층",광양프런티어밸리5차지식산업센터,196,98,3,10,월세,"1,500",150.0,
지식산업센터,"1억 2,500","69/34m², 3/10층",우성테크노파크Ⅰ,69,34,3,10,매매,,,"1억 2,500"
지식산업센터,500/40,"98/49m², 8/10층",광양프런티어밸리5차지식산업센터,98,49,8,10,월세,500,40.0,
지식산업센터,500/45,"78/38m², 5/10층",우성테크노파크Ⅰ,78,38,5,10,월세,500,45.0,
지식산업센터,"1,000/50","98/49m², 3/10층",부천옥길서영아너시티2,98,49,3,10,월세,"1,000",50.0,
지식산업센터,500/50,"111/55m², 8/10층",광양프런티어밸리5차지식산업센터,111,55,8,10,월세,500,50.0,
지식산업센터,"1,500/150","184/92m², 2/10층",더플랫폼R,184,92,2,10,월세,"1,500",150.0,
지식산업센터,500/40,"82/40m², 4/10층",골든IT타워,82,40,4,10,월세,500,40.0,
지식산업센터,500/35,"69/31m², 10/10층",광양프런티어밸리7차지식산업센터,69,31,10,10,월세,500,35.0,
지식산업센터,200/25,"93/52m², B2/10층",더플랫폼R,93,52,B2,10,월세,200,25.0,
지식산업센터,"1,000/90","169/83m², 6/10층",우성테크노파크Ⅰ,169,83,6,10,월세,"1,000",90.0,
지식산업센터,"1억 4,000","81/40m², 4/10층",골든IT타워,81,40,4,10,매매,,,"1억 4,000"
지식산업센터,"1억 4,000","80/39m², 3/10층",골든IT타워,80,39,3,10,매매,,,"1억 4,000"
지식산업센터,500/55,"87/38m², 4/10층",옥길지식산업센터,87,38,4,10,월세,500,55.0,
지식산업센터,500/50,"105/52m², 9/10층",광양프런티어밸리5차지식산업센터,105,52,9,10,월세,500,50.0,
지식산업센터,500/65,"66/32m², 10/10층",옥길지식산업센터,66,32,10,10,월세,500,65.0,
지식산업센터,"1,000/90","142/71m², 5/10층",더플랫폼R,142,71,5,10,월세,"1,000",90.0,
지식산업센터,500/40,"82/40m², 4/10층",골든IT타워,82,40,4,10,월세,500,40.0,
지식산업센터,500/40,"80/39m², 3/10층",골든IT타워,80,39,3,10,월세,500,40.0,
지식산업센터,200/20,"30/17m², B3/10층",더플랫폼R,30,17,B3,10,월세,200,20.0,
지식산업센터,"4억 9,175","240/107m², 9/10층",광양프런티어밸리7차지식산업센터,240,107,9,10,매매,,,"4억 9,175"
지식산업센터,500/45,"90/45m², 10/10층",광양프런티어밸리5차지식산업센터,90,45,10,10,월세,500,45.0,
지식산업센터,500/40,"98/49m², 8/10층",광양프런티어밸리5차지식산업센터,98,49,8,10,월세,500,40.0,
지식산업센터,"1억 8,200","90/45m², 9/10층",광양프런티어밸리5차지식산업센터,90,45,9,10,매매,,,"1억 8,200"
지식산업센터,500/45,"61/30m², 3/10층",더플랫폼R,61,30,3,10,월세,500,45.0,
지식산업센터,500/35,"69/31m², 10/10층",광양프런티어밸리7차지식산업센터,69,31,10,10,월세,500,35.0,
지식산업센터,500/35,"69/31m², 10/10층",광양프런티어밸리7차지식산업센터,69,31,10,10,월세,500,35.0,
지식산업센터,"1,000/90","142/71m², 5/10층",더플랫폼R,142,71,5,10,월세,"1,000",90.0,
지식산업센터,"2,000/130","189/94m², 4/10층",광양프런티어밸리5차지식산업센터,189,94,4,10,월세,"2,000",130.0,
지식산업센터,"1,000/100","128/64m², 3/10층",더플랫폼R,128,64,3,10,월세,"1,000",100.0,
지식산업센터,"1,000/77","127/62m², 8/10층",골든IT타워,127,62,8,10,월세,"1,000",77.0,
지식산업센터,500/35,"57/28m², 9/10층",광양프런티어밸리5차지식산업센터,57,28,9,10,월세,500,35.0,
지식산업센터,500/45,"84/42m², 8/10층",부천옥길서영아너시티2,84,42,8,10,월세,500,45.0,
지식산업센터,500/45,"75/37m², 9/10층",우성테크노파크Ⅰ,75,37,9,10,월세,500,45.0,
지식산업센터,"1,000/100","168/84m², B2/10층",광양프런티어밸리5차지식산업센터,168,84,B2,10,월세,"1,000",100.0,
지식산업센터,500/45,"88/45m², 8/10층",부천옥길서영아너시티2,88,45,8,10,월세,500,45.0,
지식산업센터,"1억 5,000","84/42m², 7/10층",부천옥길서영아너시티2,84,42,7,10,매매,,,"1억 5,000"
지식산업센터,500/45,"60/30m², 2/10층",더플랫폼R,60,30,2,10,월세,500,45.0,
지식산업센터,500/40,"81/41m², 4/10층",더플랫폼R,81,41,4,10,월세,500,40.0,
