이름,가격,면적 및 층수,센터명칭
지식산업센터,500/40,"73/36m², 7/10층",더플랫폼R
지식산업센터,"2,000/150","184/92m², 2/10층",더플랫폼R
지식산업센터,500/40,"81/41m², 4/10층",더플랫폼R
지식산업센터,"1,200/120","216/108m², 7/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,200/25,"40/22m², B2/10층",더플랫폼R
지식산업센터,500/50,"80/40m², 3/10층",더플랫폼R
지식산업센터,"1,600/160","272/137m², 6/10층",더플랫폼R
지식산업센터,500/43,"80/39m², 4/10층",골든IT타워
지식산업센터,500/45,"81/39m², 8/10층",우성테크노파크Ⅰ
지식산업센터,500/40,"80/39m², 9/10층",우성테크노파크Ⅰ
지식산업센터,600/50,"60/30m², 4/10층",더플랫폼R
지식산업센터,"1,000/55","102/50m², 6/10층",우성테크노파크Ⅰ
지식산업센터,600/60,"61/30m², 2/10층",더플랫폼R
지식산업센터,"1,000/70","200/100m², B2/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,500/45,"81/41m², 4/10층",더플랫폼R
지식산업센터,"1,600/160","272/137m², 6/10층",더플랫폼R
지식산업센터,"1,000/90","169/83m², 6/10층",우성테크노파크Ⅰ
지식산업센터,"1,200/120","216/108m², 7/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"1,000/77","127/62m², 8/10층",골든IT타워
지식산업센터,"1,000/80","139/68m², 8/10층",우성테크노파크Ⅰ
지식산업센터,500/40,"50/25m², 8/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"1,500/150","196/98m², 3/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"1억 2,500","69/34m², 3/10층",우성테크노파크Ⅰ
지식산업센터,500/40,"98/49m², 8/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,500/45,"78/38m², 5/10층",우성테크노파크Ⅰ
지식산업센터,"1,000/50","98/49m², 3/10층",부천옥길 서영아너시티2
지식산업센터,500/50,"111/55m², 8/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"1,500/150","184/92m², 2/10층",더플랫폼R
지식산업센터,500/40,"82/40m², 4/10층",골든IT타워
지식산업센터,500/35,"69/31m², 10/10층",광양프런티어밸리7차 지식산업센터
지식산업센터,200/25,"93/52m², B2/10층",더플랫폼R
지식산업센터,"1,000/90","169/83m², 6/10층",우성테크노파크Ⅰ
지식산업센터,"1억 4,000","81/40m², 4/10층",골든IT타워
지식산업센터,"1억 4,000","80/39m², 3/10층",골든IT타워
지식산업센터,500/55,"87/38m², 4/10층",옥길지식산업센터
지식산업센터,500/50,"105/52m², 9/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,500/65,"66/32m², 10/10층",옥길지식산업센터
지식산업센터,"1,000/90","142/71m², 5/10층",더플랫폼R
지식산업센터,500/40,"82/40m², 4/10층",골든IT타워
지식산업센터,500/40,"80/39m², 3/10층",골든IT타워
지식산업센터,200/20,"30/17m², B3/10층",더플랫폼R
지식산업센터,"4억 9,175","240/107m², 9/10층",광양프런티어밸리7차 지식산업센터
지식산업센터,500/45,"90/45m², 10/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,500/40,"98/49m², 8/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"1억 8,200","90/45m², 9/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,500/45,"61/30m², 3/10층",더플랫폼R
지식산업센터,500/35,"69/31m², 10/10층",광양프런티어밸리7차 지식산업센터
지식산업센터,500/35,"69/31m², 10/10층",광양프런티어밸리7차 지식산업센터
지식산업센터,"1,000/90","142/71m², 5/10층",더플랫폼R
지식산업센터,"2,000/130","189/94m², 4/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"1,000/100","128/64m², 3/10층",더플랫폼R
지식산업센터,"1,000/77","127/62m², 8/10층",골든IT타워
지식산업센터,500/35,"57/28m², 9/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,500/45,"84/42m², 8/10층",부천옥길 서영아너시티2
지식산업센터,500/45,"75/37m², 9/10층",우성테크노파크Ⅰ
지식산업센터,"1,000/100","168/84m², B2/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,500/45,"88/45m², 8/10층",부천옥길 서영아너시티2
지식산업센터,"1억 5,000","84/42m², 7/10층",부천옥길 서영아너시티2
지식산업센터,500/45,"60/30m², 2/10층",더플랫폼R
지식산업센터,500/40,"81/41m², 4/10층",더플랫폼R
지식산업센터,"1억 7,000","102/50m², 6/10층",우성테크노파크Ⅰ
지식산업센터,"1억 7,000","80/39m², 4/10층",골든IT타워
지식산업센터,"1억 7,000","68/34m², 9/10층",부천옥길 서영아너시티2
지식산업센터,600/60,"38/38m², 4/10층",더플랫폼R
지식산업센터,500/50,"95/47m², 9/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"4억 2,000","215/105m², 3/10층",우성테크노파크Ⅰ
지식산업센터,"1,000/90","189/94m², B2/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,500/50,"95/47m², 9/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,500/45,"78/38m², 5/10층",우성테크노파크Ⅰ
지식산업센터,"1억 5,000","91/45m², 4/10층",부천옥길 서영아너시티2
지식산업센터,"4,000","33/16m², B3/10층",부천옥길 서영아너시티2
지식산업센터,"1억 3,000","81/39m², 6/10층",우성테크노파크Ⅰ
지식산업센터,"1억 8,000","68/34m², 7/10층",부천옥길 서영아너시티2
지식산업센터,"1,200/120","216/108m², 7/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"1억 5,000","68/34m², 7/10층",부천옥길 서영아너시티2
지식산업센터,"1억 4,500","81/39m², 8/10층",우성테크노파크Ⅰ
지식산업센터,500/40,"69/34m², 3/10층",우성테크노파크Ⅰ
지식산업센터,"1억 2,500","69/34m², 3/10층",우성테크노파크Ⅰ
지식산업센터,"1억 2,000","81/39m², 4/10층",우성테크노파크Ⅰ
지식산업센터,500/60,"102/50m², 3/10층",우성테크노파크Ⅰ
지식산업센터,"1억 5,000","102/50m², 10/10층",우성테크노파크Ⅰ
지식산업센터,500/35,"57/28m², 9/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,500/50,"86/43m², 3/10층",더플랫폼R
지식산업센터,500/50,"80/40m², 3/10층",더플랫폼R
지식산업센터,"1,300/130","214/107m², 5/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,500/50,"80/40m², 3/10층",더플랫폼R
지식산업센터,"1,000/100","217/97m², 10/10층",광양프런티어밸리7차 지식산업센터
지식산업센터,"1,000/90","129/71m², 5/10층",더플랫폼R
지식산업센터,500/35,"57/28m², 9/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"1억 5,500","81/40m², 6/10층",골든IT타워
지식산업센터,"1,300/130","214/107m², 5/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"1,300/130","214/104m², 5/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"2,000/130","189/94m², 4/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,500/45,"81/41m², 4/10층",더플랫폼R
지식산업센터,"1억 2,000","66/32m², 7/10층",골든IT타워
지식산업센터,500/40,"81/36m², 10/10층",광양프런티어밸리7차 지식산업센터
지식산업센터,500/40,"81/41m², 4/10층",더플랫폼R
지식산업센터,"4억 1,000","189/94m², 4/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"4억 9,170","239/107m², 9/10층",광양프런티어밸리7차 지식산업센터
지식산업센터,"1,000/55","102/50m², 6/10층",우성테크노파크Ⅰ
지식산업센터,"1,000/120","118/59m², 10/10층",더플랫폼R
지식산업센터,500/50,"95/47m², 9/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"3억 8,300","196/98m², 7/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,500/35,"69/31m², 10/10층",광양프런티어밸리7차 지식산업센터
지식산업센터,"2억 4,800","117/58m², 9/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"1,300/130","231/104m², 3/10층",광양프런티어밸리7차 지식산업센터
지식산업센터,700/70,"189/94m², B2/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,2억,"105/52m², 9/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"1,200/120","216/108m², 7/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"1,000/65","130/65m², B2/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"1억 3,500","75/37m², 10/10층",우성테크노파크Ⅰ
지식산업센터,500/40,"82/40m², 3/10층",골든IT타워
지식산업센터,2억,"95/47m², 9/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"2,000/130","189/94m², 4/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,500/40,"73/36m², 5/10층",더플랫폼R
지식산업센터,500/45,"61/30m², 7/10층",더플랫폼R
지식산업센터,500/50,"61/30m², 4/10층",더플랫폼R
지식산업센터,300/29,"45/29m², B3/10층",부천옥길 서영아너시티2
지식산업센터,600/60,"80/43m², 3/10층",더플랫폼R
지식산업센터,"1,000/60","50/28m², 9/10층",옥길지식산업센터
지식산업센터,500/45,"60/30m², 7/10층",더플랫폼R
지식산업센터,"1,500/150","196/98m², 3/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,500/40,"91/45m², 8/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"1,000/60","50/28m², 9/10층",옥길지식산업센터
지식산업센터,"3억 8,000","171/85m², 7/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,700/65,"117/58m², 9/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,500/45,"98/49m², 9/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,"1,000/60","28/28m², 9/10층",옥길지식산업센터
지식산업센터,500/45,"80/39m², 3/10층",골든IT타워
지식산업센터,500/50,"80/40m², 4/10층",더플랫폼R
지식산업센터,500/50,"73/36m², 3/10층",더플랫폼R
지식산업센터,500/40,"81/41m², 5/10층",더플랫폼R
지식산업센터,"1억 2,000","81/39m², 4/10층",우성테크노파크Ⅰ
지식산업센터,500/50,"76/38m², 4/10층",더플랫폼R
지식산업센터,500/50,"111/55m², 8/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,200/25,"37/18m², B1/10층",골든IT타워
지식산업센터,500/45,"84/42m², 6/10층",부천옥길 서영아너시티2
지식산업센터,500/50,"86/43m², 3/10층",더플랫폼R
지식산업센터,500/45,"61/30m², 3/10층",더플랫폼R
지식산업센터,"2,000/130","189/94m², 4/10층",광양프런티어밸리 5차 지식산업센터
지식산업센터,2억,"95/47m², 9/10층",광양프런티어밸리 5차 지식산업센터
