이름,가격,면적 및 층수,센터명칭
지식산업센터,500/50,"59/33m², 5/6층",정보없음
지식산업센터,500/50,"63/34m², 3/5층",정보없음
지식산업센터,"2억 5,000","194/107m², 5/8층",진택하이테크밸리
지식산업센터,"2,000/160","166/166m², 6/11층",정보없음
지식산업센터,"4억 3,000","247/161m², 4/9층",정보없음
지식산업센터,4억,"168/133m², 6/13층",정보없음
지식산업센터,"4억 2,000","264/166m², 2/13층",정보없음
지식산업센터,"2억 2,000","88/49m², 3/7층",정보없음
지식산업센터,"2,000/150","88/49m², 3/7층",정보없음
지식산업센터,"1,500/150","166/166m², 9/13층",정보없음
지식산업센터,500/40,"56/27m², 4/5층",부천테크노파크
지식산업센터,"7,050/705","773/582m², B1/6층",인철테크노밸리
지식산업센터,"4억 3,000","254/166m², 8/9층",정보없음
지식산업센터,"2,000/150","254/166m², 8/9층",정보없음
지식산업센터,"8억 3,000","527/349m², B1/9층",부천테크노파크
지식산업센터,"4억 4,000","247/163m², 2/9층",부천테크노파크
지식산업센터,"2,000/150","264/166m², 13/13층",정보없음
지식산업센터,"2,000/150","274/166m², 4/11층",정보없음
지식산업센터,"8억 5,000","516/336m², 8/9층",정보없음
지식산업센터,"8억 3,000","508/336m², 8/9층",부천테크노파크
지식산업센터,500/55,"67/36m², 5/5층",정보없음
지식산업센터,"6,925/692","814/173m², 4/6층",인철테크노밸리
지식산업센터,"1,000/120","189/125m², B1/9층",부천테크노파크
지식산업센터,500/50,"34/34m², 3/6층",정보없음
지식산업센터,"2,000/150","516/165m², 6/10층",정보없음
지식산업센터,8억,"516/336m², 6/10층",정보없음
지식산업센터,"1,500/160","254/163m², 3/9층",정보없음
지식산업센터,"2,000/120","146/81m², 3/7층",정보없음
지식산업센터,"9억 2,000","545/343m², 4/13층",정보없음
지식산업센터,4억,"166/264m², 10/12층",정보없음
지식산업센터,4억,"264/166m², 9/13층",정보없음
지식산업센터,"8억 1,000","459/304m², 7/9층",부천테크노파크
지식산업센터,8억,"459/304m², 8/9층",부천테크노파크
지식산업센터,"7,050/705","773/582m², B1/6층",인철테크노밸리
지식산업센터,"6,920/692","814/572m², 4/6층",인철테크노밸리
지식산업센터,"4억 2,000","247/163m², B1/9층",부천테크노파크
지식산업센터,500/50,"63/34m², 4/5층",정보없음
지식산업센터,"4억 4,000","247/163m², 2/9층",부천테크노파크
지식산업센터,500/45,"63/34m², 3/5층",정보없음
지식산업센터,"4억 3,000","248/162m², 4/9층",정보없음
지식산업센터,"2,000/150","261/166m², 8/11층",정보없음
지식산업센터,"3,000/300","528/336m², 9/13층",정보없음
지식산업센터,"3,680/368","433/304m², 5/6층",인철테크노밸리
지식산업센터,"4억 3,000","247/161m², 4/10층",정보없음
지식산업센터,"1,500/140","247/163m², 9/9층",부천테크노파크
지식산업센터,"5억 3,000","270/216m², B1/12층",정보없음
지식산업센터,"2,000/150","264/166m², B1/12층",정보없음
지식산업센터,"8,000","29/27m², 4/5층",부천테크노파크
지식산업센터,"3,000/270","508/336m², 8/9층",부천테크노파크
지식산업센터,8억,"373/304m², 8/9층",부천테크노파크
지식산업센터,"1,000/95","148/82m², 10/12층",정보없음
지식산업센터,"4,000/300","518/337m², 15/15층",정보없음
지식산업센터,"8억 4,000","516/336m², 6/9층",정보없음
지식산업센터,"4억 3,000","247/161m², 4/9층",정보없음
지식산업센터,"8억 3,000","508/336m², 8/9층",부천테크노파크
지식산업센터,"2,000/180","279/185m², B1/9층",부천테크노파크
지식산업센터,"4억 3,000","254/166m², 8/9층",정보없음
지식산업센터,"2,000/150","254/166m², 8/9층",정보없음
지식산업센터,"2,000/160","279/185m², B1/9층",부천테크노파크
지식산업센터,"6,900/690","814/578m², 4/4층",인철테크노밸리
지식산업센터,"7,000/700","727/595m², B1/6층",인철테크노밸리
지식산업센터,"1,500/160","254/163m², 3/10층",정보없음
지식산업센터,"4,513/451","1388/373m², 5/7층",인철테크노밸리
지식산업센터,"3,682/368","433/304m², 5/7층",인철테크노밸리
지식산업센터,"6,925/692","814/572m², 4/7층",인철테크노밸리
지식산업센터,"7,050/705","818/575m², B1/7층",인철테크노밸리
지식산업센터,7억,"127/68m², 1/5층",정보없음
