이름,가격,면적 및 층수,센터명칭
지식산업센터,"4억 5,000","193/99m², 3/7층",정보없음
지식산업센터,5억,"200/103m², B1/7층",정보없음
지식산업센터,"1,300/130","193/99m², 2/7층",정보없음
지식산업센터,"4억 7,000","211/108m², 7/7층",정보없음
지식산업센터,"1,300/130","193/99m², 3/7층",정보없음
지식산업센터,"1,300/130","193/99m², 3/7층",정보없음
지식산업센터,"4억 1,000","184/94m², 6/7층",정보없음
지식산업센터,"4,000/400","792/542m², 4/5층",다온테크노밸리
지식산업센터,"1,200/120","184/99m², 3/7층",정보없음
지식산업센터,"1,300/130","193/99m², 3/7층",정보없음
지식산업센터,"1,300/130","206/99m², 5/7층",정보없음
지식산업센터,"1,300/130","193/99m², 3/7층",정보없음
지식산업센터,"1,300/130","193/99m², 3/7층",정보없음
지식산업센터,"4,400/440","736/517m², 5/7층",원일테크노
지식산업센터,"4억 5,000","193/99m², 3/7층",정보없음
지식산업센터,"4억 5,000","193/99m², 3/7층",정보없음
지식산업센터,"4억 5,000","193/99m², 3/7층",정보없음
지식산업센터,"3억 9,600","176/90m², 3/7층",정보없음
지식산업센터,"1,300/130","180/99m², 3/7층",정보없음
지식산업센터,"1,300/130","193/99m², 2/7층",정보없음
지식산업센터,130억,"4414/3722m², 6/6층",원일테크노
지식산업센터,"3,450/345","661/495m², 2/5층",정보없음
지식산업센터,"3,500/350","486/378m², 2/5층",정보없음
