이름,가격,면적 및 층수,센터명칭,공급면적,전용면적,현재층,총층,공급종류,보증금,월세,매매가
지식산업센터,"4억 5,000","193/99m², 3/7층",정보없음,193,99,3,7,매매,,,"4억 5,000"
지식산업센터,5억,"200/103m², B1/7층",정보없음,200,103,B1,7,매매,,,5억
지식산업센터,"1,300/130","193/99m², 2/7층",정보없음,193,99,2,7,월세,"1,300",130,
지식산업센터,"4억 7,000","211/108m², 7/7층",정보없음,211,108,7,7,매매,,,"4억 7,000"
지식산업센터,"1,300/130","193/99m², 3/7층",정보없음,193,99,3,7,월세,"1,300",130,
지식산업센터,"1,300/130","193/99m², 3/7층",정보없음,193,99,3,7,월세,"1,300",130,
지식산업센터,"4억 1,000","184/94m², 6/7층",정보없음,184,94,6,7,매매,,,"4억 1,000"
지식산업센터,"4,000/400","792/542m², 4/5층",다온테크노밸리,792,542,4,5,월세,"4,000",400,
지식산업센터,"1,200/120","184/99m², 3/7층",정보없음,184,99,3,7,월세,"1,200",120,
지식산업센터,"1,300/130","193/99m², 3/7층",정보없음,193,99,3,7,월세,"1,300",130,
지식산업센터,"1,300/130","206/99m², 5/7층",정보없음,206,99,5,7,월세,"1,300",130,
지식산업센터,"1,300/130","193/99m², 3/7층",정보없음,193,99,3,7,월세,"1,300",130,
지식산업센터,"1,300/130","193/99m², 3/7층",정보없음,193,99,3,7,월세,"1,300",130,
지식산업센터,"4,400/440","736/517m², 5/7층",원일테크노,736,517,5,7,월세,"4,400",440,
지식산업센터,"4억 5,000","193/99m², 3/7층",정보없음,193,99,3,7,매매,,,"4억 5,000"
지식산업센터,"4억 5,000","193/99m², 3/7층",정보없음,193,99,3,7,매매,,,"4억 5,000"
지식산업센터,"4억 5,000","193/99m², 3/7층",정보없음,193,99,3,7,매매,,,"4억 5,000"
지식산업센터,"3억 9,600","176/90m², 3/7층",정보없음,176,90,3,7,매매,,,"3억 9,600"
지식산업센터,"1,300/130","180/99m², 3/7층",정보없음,180,99,3,7,월세,"1,300",130,
지식산업센터,"1,300/130","193/99m², 2/7층",정보없음,193,99,2,7,월세,"1,300",130,
지식산업센터,130억,"4414/3722m², 6/6층",원일테크노,4414,3722,6,6,매매,,,130억
지식산업센터,"3,450/345","661/495m², 2/5층",정보없음,661,495,2,5,월세,"3,450",345,
지식산업센터,"3,500/350","486/378m², 2/5층",정보없음,486,378,2,5,월세,"3,500",350,
