이름,가격,면적 및 층수,센터명칭
지식산업센터,900/90,"82/65m², 5/12층",정보없음
지식산업센터,"2,000/150","260/165m², 15/15층",정보없음
지식산업센터,"3억 9,000","262/170m², 6/15층",정보없음
지식산업센터,"2억 5,000","101/65m², 5/14층",정보없음
지식산업센터,"3억 2,800","194/125m², 8/13층",정보없음
지식산업센터,4억,"253/164m², 9/13층",정보없음
지식산업센터,19억,"1179/613m², 4/6층",정보없음
지식산업센터,22억,"760/760m², 4/6층",정보없음
지식산업센터,"4억 2,000","103/52m², 5/6층",정보없음
지식산업센터,7억,"476/264m², 3/8층",y-제니스 파크
지식산업센터,"3억 5,000","252/170m², 4/6층",부천테크노월드
지식산업센터,900/90,"108/65m², 5/13층",정보없음
지식산업센터,"1,300/140","162/125m², 8/15층",정보없음
지식산업센터,"2,000/220","370/256m², 4/6층",부천테크노월드
지식산업센터,"3억 2,800","194/125m², 8/13층",정보없음
지식산업센터,4억,"212/164m², 9/15층",정보없음
지식산업센터,"4억 2,000","219/141m², 3/12층",정보없음
지식산업센터,29억,"857/530m², 5/8층",정보없음
지식산업센터,4억,"268/164m², 9/13층",정보없음
지식산업센터,"6억 9,000","2828/423m², B1/7층",y-제니스 파크
지식산업센터,"2,300/230","171/107m², 1/6층",정보없음
지식산업센터,"3,000/250","511/284m², 2/8층",y-제니스 파크
지식산업센터,"8억 5,000","654/363m², 3/8층",y-제니스 파크
지식산업센터,"1,000/100","162/98m², 2/8층",고산테크노밸리
지식산업센터,3억,"167/87m², 3/6층",정보없음
지식산업센터,"3억 2,800","194/125m², 8/13층",정보없음
지식산업센터,"3억 2,800","194/125m², 8/13층",정보없음
지식산업센터,"2,300/230","460/233m², 1/7층",y-제니스 파크
지식산업센터,"1,500/140","280/165m², 1/7층",y-제니스 파크
지식산업센터,"3억 1,800","194/125m², 8/15층",정보없음
지식산업센터,"2,000/160","252/169m², 4/6층",부천테크노월드
지식산업센터,"1,300/140","194/125m², 8/13층",정보없음
지식산업센터,"4,000/340","511/284m², 2/9층",y-제니스 파크
지식산업센터,"4,000/370","209/116m², 3/9층",y-제니스 파크
지식산업센터,"3억 1,800","194/125m², 8/15층",정보없음
지식산업센터,"4억 3,000","260/168m², 12/15층",정보없음
