이름,가격,면적 및 층수,센터명칭
지식산업센터,"1,700/165","228/114m², 16/20층",부천테크노밸리 U1 center
지식산업센터,"3억 2,000","186/99m², 12/13층",정보없음
지식산업센터,"4억 3,500","148/74m², 2/20층",부천테크노밸리 U1 center
지식산업센터,"1,000/60","84/42m², 10/20층",부천테크노밸리 U1 center
지식산업센터,"1,200/120","185/99m², 12/13층",정보없음
지식산업센터,"1,200/120","185/99m², 12/13층",정보없음
지식산업센터,"1,500/150","174/87m², 4/20층",부천테크노밸리 U1 center
지식산업센터,"2,000/180","184/92m², 9/20층",부천테크노밸리 U1 center
지식산업센터,"1,100/110","145/72m², 19/20층",부천테크노밸리 U1 center
지식산업센터,"3억 8,000","205/109m², 9/13층",정보없음
지식산업센터,"3억 1,600","143/72m², 12/20층",부천테크노밸리 U1 center
지식산업센터,"1,000/60","80/42m², 13/20층",부천테크노밸리 U1 center
지식산업센터,"3억 2,000","185/99m², 4/15층",정보없음
지식산업센터,"3억 2,000","186/99m², 4/13층",정보없음
지식산업센터,4억,"195/97m², 13/20층",부천테크노밸리 U1 center
지식산업센터,"2억 5,000","122/61m², 18/20층",부천테크노밸리 U1 center
지식산업센터,5억,"228/114m², 13/20층",부천테크노밸리 U1 center
지식산업센터,"1,000/100","186/99m², 5/13층",정보없음
지식산업센터,7억,"343/172m², 17/20층",부천테크노밸리 U1 center
지식산업센터,8억,"390/194m², 13/20층",부천테크노밸리 U1 center
지식산업센터,"1,000/70","84/42m², 18/20층",부천테크노밸리 U1 center
지식산업센터,"1,200/120","185/99m², 11/13층",정보없음
지식산업센터,"2억 5,300","121/61m², 17/20층",부천테크노밸리 U1 center
지식산업센터,13억,"194/97m², 18/20층",부천테크노밸리 U1 center
지식산업센터,"2억 5,000","127/64m², 18/20층",부천테크노밸리 U1 center
지식산업센터,"1,500/120","186/99m², 2/13층",정보없음
지식산업센터,"3억 5,000","185/99m², 12/13층",정보없음
지식산업센터,"1,000/60","76/38m², 13/20층",부천테크노밸리 U1 center
지식산업센터,"1,000/120","190/99m², 12/13층",정보없음
지식산업센터,4억,"194/97m², 13/20층",부천테크노밸리 U1 center
지식산업센터,"2억 5,000","126/63m², 16/20층",부천테크노밸리 U1 center
지식산업센터,"1,200/120","185/99m², 12/13층",정보없음
지식산업센터,5억,"244/122m², 8/20층",부천테크노밸리 U1 center
지식산업센터,"1억 1,500","60/30m², 8/20층",부천테크노밸리 U1 center
지식산업센터,"2,000/180","184/92m², 9/20층",부천테크노밸리 U1 center
지식산업센터,"3억 1,600","143/72m², 9/20층",부천테크노밸리 U1 center
지식산업센터,"1억 2,500","61/30m², 7/20층",부천테크노밸리 U1 center
지식산업센터,"2,000/180","228/114m², 9/20층",부천테크노밸리 U1 center
지식산업센터,"2억 5,000","126/63m², 18/20층",부천테크노밸리 U1 center
지식산업센터,"1,500/120","182/99m², 2/13층",정보없음
지식산업센터,"1,500/120","185/99m², 2/13층",정보없음
지식산업센터,"2,000/180","184/92m², 9/20층",부천테크노밸리 U1 center
지식산업센터,"1,500/120","185/99m², 2/13층",정보없음
지식산업센터,"3억 1,000","185/99m², 12/13층",정보없음
지식산업센터,"1,500/150","174/87m², 4/20층",부천테크노밸리 U1 center
지식산업센터,"1,100/110","145/72m², 19/20층",부천테크노밸리 U1 center
지식산업센터,"1,500/100","142/76m², 1/13층",정보없음
지식산업센터,"2억 5,300","120/60m², 17/20층",부천테크노밸리 U1 center
지식산업센터,"2억 5,000","126/63m², 18/20층",부천테크노밸리 U1 center
지식산업센터,"3억 2,000","186/99m², 4/13층",정보없음
지식산업센터,"1,000/60","76/38m², 13/20층",부천테크노밸리 U1 center
지식산업센터,"2억 8,500","143/72m², 9/20층",부천테크노밸리 U1 center
지식산업센터,"2,000/250","376/200m², 10/13층",정보없음
지식산업센터,"1,000/90","120/61m², 15/20층",부천테크노밸리 U1 center
지식산업센터,"4억 2,000","194/97m², 10/20층",부천테크노밸리 U1 center
지식산업센터,"1억 9,000","75/38m², 2/20층",부천테크노밸리 U1 center
지식산업센터,13억,"645/324m², 18/20층",부천테크노밸리 U1 center
지식산업센터,4억,"174/87m², 5/20층",부천테크노밸리 U1 center
지식산업센터,13억,"645/323m², 18/20층",부천테크노밸리 U1 center
지식산업센터,"2억 8,500","143/72m², 9/20층",부천테크노밸리 U1 center
