이름,가격,면적 및 층수,센터명칭
지식산업센터,"1,500/150","215/134m², 15/15층",정보없음
지식산업센터,"1,500/150","211/134m², 13/15층",정보없음
지식산업센터,"1,000/140","220/116m², B3/27층",정보없음
지식산업센터,"2,000/170","261/165m², B1/15층",정보없음
지식산업센터,"3,000/150","200/113m², 1/8층",정보없음
지식산업센터,"2,300/230","242/122m², 8/13층",정보없음
지식산업센터,"1억 9,900","146/73m², B2/13층",정보없음
지식산업센터,"1억 9,200","80/40m², 10/13층",정보없음
지식산업센터,"1,000/60","80/40m², 4/13층",정보없음
지식산업센터,"1억 8,300","80/40m², 7/13층",정보없음
지식산업센터,"1,400/140","171/86m², 4/13층",정보없음
지식산업센터,"3억 5,000","164/86m², 26/27층",정보없음
지식산업센터,"1억 8,300","80/40m², 7/14층",정보없음
지식산업센터,4억,"215/136m², 7/15층",정보없음
지식산업센터,"1,200/120","155/83m², 11/27층",정보없음
지식산업센터,"1,600/160","164/82m², 9/13층",정보없음
지식산업센터,"3억 4,000","164/86m², 16/27층",정보없음
지식산업센터,"1,600/160","225/118m², 4/27층",정보없음
지식산업센터,"4억 6,000","221/116m², 2/27층",정보없음
지식산업센터,"9억 5,000","420/220m², 4/27층",정보없음
지식산업센터,"4억 7,000","225/118m², 4/27층",정보없음
지식산업센터,700/70,"82/41m², 5/13층",정보없음
지식산업센터,"2,300/230","220/122m², 8/13층",정보없음
지식산업센터,600/60,"71/36m², 8/13층",정보없음
지식산업센터,"1,600/160","160/100m², 9/13층",정보없음
지식산업센터,4억,"197/103m², 1/27층",정보없음
지식산업센터,"1,600/160","225/118m², 4/27층",정보없음
지식산업센터,"1억 8,300","80/40m², 10/13층",정보없음
지식산업센터,"2,000/175","194/98m², 10/13층",정보없음
지식산업센터,"1,500/150","224/115m², 5/27층",정보없음
지식산업센터,"1,800/180","245/129m², 19/27층",정보없음
지식산업센터,"1,600/160","225/118m², 4/27층",정보없음
지식산업센터,"1,600/160","225/118m², 4/27층",정보없음
지식산업센터,"2억 1,500","146/73m², B1/13층",정보없음
지식산업센터,"2,300/230","80/80m², 8/13층",정보없음
지식산업센터,"2,300/230","245/122m², 8/13층",정보없음
지식산업센터,"4,500/450","492/277m², 8/13층",정보없음
지식산업센터,"1,500/140","178/97m², 19/20층",정보없음
지식산업센터,"3억 3,000","157/83m², 12/27층",정보없음
지식산업센터,"4억 1,000","196/103m², 1/27층",정보없음
지식산업센터,"1,600/160","145/73m², 10/13층",정보없음
지식산업센터,"1,500/150","215/136m², 10/15층",정보없음
지식산업센터,"1,500/150","146/73m², 10/13층",정보없음
지식산업센터,"1,600/160","223/142m², 15/15층",정보없음
지식산업센터,4억,"215/136m², 7/15층",정보없음
지식산업센터,500/40,"67/35m², B3/27층",정보없음
지식산업센터,"8억 8,000","196/103m², 4/27층",정보없음
지식산업센터,"4억 6,000","221/116m², 4/27층",정보없음
지식산업센터,"5억 4,000","225/118m², 5/27층",정보없음
지식산업센터,"8억 8,000","417/219m², B3/27층",정보없음
지식산업센터,"8억 8,000","197/103m², 4/27층",정보없음
지식산업센터,"2억 2,000","198/104m², B3/27층",정보없음
지식산업센터,"5억 8,000","242/122m², 8/13층",정보없음
