이름,가격,면적 및 층수,센터명칭,공급면적,전용면적,현재층,총층,공급종류,보증금,월세,매매가
지식산업센터,"1,700/165","228/114m², 16/20층",부천테크노밸리 U1 center,228,114,16,20,월세,"1,700",165,
지식산업센터,"3억 2,000","186/99m², 12/13층",정보없음,186,99,12,13,매매,,,"3억 2,000"
지식산업센터,"4억 3,500","148/74m², 2/20층",부천테크노밸리 U1 center,148,74,2,20,매매,,,"4억 3,500"
지식산업센터,"1,000/60","84/42m², 10/20층",부천테크노밸리 U1 center,84,42,10,20,월세,"1,000",60,
지식산업센터,"1,200/120","185/99m², 12/13층",정보없음,185,99,12,13,월세,"1,200",120,
지식산업센터,"1,200/120","185/99m², 12/13층",정보없음,185,99,12,13,월세,"1,200",120,
지식산업센터,"1,500/150","174/87m², 4/20층",부천테크노밸리 U1 center,174,87,4,20,월세,"1,500",150,
지식산업센터,"2,000/180","184/92m², 9/20층",부천테크노밸리 U1 center,184,92,9,20,월세,"2,000",180,
지식산업센터,"1,100/110","145/72m², 19/20층",부천테크노밸리 U1 center,145,72,19,20,월세,"1,100",110,
지식산업센터,"3억 8,000","205/109m², 9/13층",정보없음,205,109,9,13,매매,,,"3억 8,000"
지식산업센터,"3억 1,600","143/72m², 12/20층",부천테크노밸리 U1 center,143,72,12,20,매매,,,"3억 1,600"
지식산업센터,"1,000/60","80/42m², 13/20층",부천테크노밸리 U1 center,80,42,13,20,월세,"1,000",60,
지식산업센터,"3억 2,000","185/99m², 4/15층",정보없음,185,99,4,15,매매,,,"3억 2,000"
지식산업센터,"3억 2,000","186/99m², 4/13층",정보없음,186,99,4,13,매매,,,"3억 2,000"
지식산업센터,4억,"195/97m², 13/20층",부천테크노밸리 U1 center,195,97,13,20,매매,,,4억
지식산업센터,"2억 5,000","122/61m², 18/20층",부천테크노밸리 U1 center,122,61,18,20,매매,,,"2억 5,000"
지식산업센터,5억,"228/114m², 13/20층",부천테크노밸리 U1 center,228,114,13,20,매매,,,5억
지식산업센터,"1,000/100","186/99m², 5/13층",정보없음,186,99,5,13,월세,"1,000",100,
지식산업센터,7억,"343/172m², 17/20층",부천테크노밸리 U1 center,343,172,17,20,매매,,,7억
지식산업센터,8억,"390/194m², 13/20층",부천테크노밸리 U1 center,390,194,13,20,매매,,,8억
지식산업센터,"1,000/70","84/42m², 18/20층",부천테크노밸리 U1 center,84,42,18,20,월세,"1,000",70,
지식산업센터,"1,200/120","185/99m², 11/13층",정보없음,185,99,11,13,월세,"1,200",120,
지식산업센터,"2억 5,300","121/61m², 17/20층",부천테크노밸리 U1 center,121,61,17,20,매매,,,"2억 5,300"
지식산업센터,13억,"194/97m², 18/20층",부천테크노밸리 U1 center,194,97,18,20,매매,,,13억
지식산업센터,"2억 5,000","127/64m², 18/20층",부천테크노밸리 U1 center,127,64,18,20,매매,,,"2억 5,000"
지식산업센터,"1,500/120","186/99m², 2/13층",정보없음,186,99,2,13,월세,"1,500",120,
지식산업센터,"3억 5,000","185/99m², 12/13층",정보없음,185,99,12,13,매매,,,"3억 5,000"
지식산업센터,"1,000/60","76/38m², 13/20층",부천테크노밸리 U1 center,76,38,13,20,월세,"1,000",60,
지식산업센터,"1,000/120","190/99m², 12/13층",정보없음,190,99,12,13,월세,"1,000",120,
지식산업센터,4억,"194/97m², 13/20층",부천테크노밸리 U1 center,194,97,13,20,매매,,,4억
지식산업센터,"2억 5,000","126/63m², 16/20층",부천테크노밸리 U1 center,126,63,16,20,매매,,,"2억 5,000"
지식산업센터,"1,200/120","185/99m², 12/13층",정보없음,185,99,12,13,월세,"1,200",120,
지식산업센터,5억,"244/122m², 8/20층",부천테크노밸리 U1 center,244,122,8,20,매매,,,5억
지식산업센터,"1억 1,500","60/30m², 8/20층",부천테크노밸리 U1 center,60,30,8,20,매매,,,"1억 1,500"
지식산업센터,"2,000/180","184/92m², 9/20층",부천테크노밸리 U1 center,184,92,9,20,월세,"2,000",180,
지식산업센터,"3억 1,600","143/72m², 9/20층",부천테크노밸리 U1 center,143,72,9,20,매매,,,"3억 1,600"
지식산업센터,"1억 2,500","61/30m², 7/20층",부천테크노밸리 U1 center,61,30,7,20,매매,,,"1억 2,500"
지식산업센터,"2,000/180","228/114m², 9/20층",부천테크노밸리 U1 center,228,114,9,20,월세,"2,000",180,
지식산업센터,"2억 5,000","126/63m², 18/20층",부천테크노밸리 U1 center,126,63,18,20,매매,,,"2억 5,000"
지식산업센터,"1,500/120","182/99m², 2/13층",정보없음,182,99,2,13,월세,"1,500",120,
지식산업센터,"1,500/120","185/99m², 2/13층",정보없음,185,99,2,13,월세,"1,500",120,
지식산업센터,"2,000/180","184/92m², 9/20층",부천테크노밸리 U1 center,184,92,9,20,월세,"2,000",180,
지식산업센터,"1,500/120","185/99m², 2/13층",정보없음,185,99,2,13,월세,"1,500",120,
지식산업센터,"3억 1,000","185/99m², 12/13층",정보없음,185,99,12,13,매매,,,"3억 1,000"
지식산업센터,"1,500/150","174/87m², 4/20층",부천테크노밸리 U1 center,174,87,4,20,월세,"1,500",150,
