이름,가격,면적 및 층수,센터명칭,공급면적,전용면적,현재층,총층,공급종류,보증금,월세,매매가
지식산업센터,900/90,"82/65m², 5/12층",정보없음,82,65,5,12,월세,900,90,
지식산업센터,"2,000/150","260/165m², 15/15층",정보없음,260,165,15,15,월세,"2,000",150,
지식산업센터,"3억 9,000","262/170m², 6/15층",정보없음,262,170,6,15,매매,,,"3억 9,000"
지식산업센터,"2억 5,000","101/65m², 5/14층",정보없음,101,65,5,14,매매,,,"2억 5,000"
지식산업센터,"3억 2,800","194/125m², 8/13층",정보없음,194,125,8,13,매매,,,"3억 2,800"
지식산업센터,4억,"253/164m², 9/13층",정보없음,253,164,9,13,매매,,,4억
지식산업센터,19억,"1179/613m², 4/6층",정보없음,1179,613,4,6,매매,,,19억
지식산업센터,22억,"760/760m², 4/6층",정보없음,760,760,4,6,매매,,,22억
지식산업센터,"4억 2,000","103/52m², 5/6층",정보없음,103,52,5,6,매매,,,"4억 2,000"
지식산업센터,7억,"476/264m², 3/8층",y-제니스 파크,476,264,3,8,매매,,,7억
지식산업센터,"3억 5,000","252/170m², 4/6층",부천테크노월드,252,170,4,6,매매,,,"3억 5,000"
지식산업센터,900/90,"108/65m², 5/13층",정보없음,108,65,5,13,월세,900,90,
지식산업센터,"1,300/140","162/125m², 8/15층",정보없음,162,125,8,15,월세,"1,300",140,
지식산업센터,"2,000/220","370/256m², 4/6층",부천테크노월드,370,256,4,6,월세,"2,000",220,
지식산업센터,"3억 2,800","194/125m², 8/13층",정보없음,194,125,8,13,매매,,,"3억 2,800"
지식산업센터,4억,"212/164m², 9/15층",정보없음,212,164,9,15,매매,,,4억
지식산업센터,"4억 2,000","219/141m², 3/12층",정보없음,219,141,3,12,매매,,,"4억 2,000"
지식산업센터,29억,"857/530m², 5/8층",정보없음,857,530,5,8,매매,,,29억
지식산업센터,4억,"268/164m², 9/13층",정보없음,268,164,9,13,매매,,,4억
지식산업센터,"6억 9,000","2828/423m², B1/7층",y-제니스 파크,2828,423,B1,7,매매,,,"6억 9,000"
지식산업센터,"2,300/230","171/107m², 1/6층",정보없음,171,107,1,6,월세,"2,300",230,
지식산업센터,"3,000/250","511/284m², 2/8층",y-제니스 파크,511,284,2,8,월세,"3,000",250,
지식산업센터,"8억 5,000","654/363m², 3/8층",y-제니스 파크,654,363,3,8,매매,,,"8억 5,000"
지식산업센터,"1,000/100","162/98m², 2/8층",고산테크노밸리,162,98,2,8,월세,"1,000",100,
지식산업센터,3억,"167/87m², 3/6층",정보없음,167,87,3,6,매매,,,3억
지식산업센터,"3억 2,800","194/125m², 8/13층",정보없음,194,125,8,13,매매,,,"3억 2,800"
지식산업센터,"3억 2,800","194/125m², 8/13층",정보없음,194,125,8,13,매매,,,"3억 2,800"
지식산업센터,"2,300/230","460/233m², 1/7층",y-제니스 파크,460,233,1,7,월세,"2,300",230,
지식산업센터,"1,500/140","280/165m², 1/7층",y-제니스 파크,280,165,1,7,월세,"1,500",140,
지식산업센터,"3억 1,800","194/125m², 8/15층",정보없음,194,125,8,15,매매,,,"3억 1,800"
지식산업센터,"2,000/160","252/169m², 4/6층",부천테크노월드,252,169,4,6,월세,"2,000",160,
지식산업센터,"1,300/140","194/125m², 8/13층",정보없음,194,125,8,13,월세,"1,300",140,
지식산업센터,"4,000/340","511/284m², 2/9층",y-제니스 파크,511,284,2,9,월세,"4,000",340,
지식산업센터,"4,000/370","209/116m², 3/9층",y-제니스 파크,209,116,3,9,월세,"4,000",370,
지식산업센터,"3억 1,800","194/125m², 8/15층",정보없음,194,125,8,15,매매,,,"3억 1,800"
지식산업센터,"4억 3,000","260/168m², 12/15층",정보없음,260,168,12,15,매매,,,"4억 3,000"
