이름,가격,면적 및 층수,센터명칭,공급면적,전용면적,현재층,총층,공급종류,보증금,월세,매매가
지식산업센터,500/50,"59/33m², 5/6층",정보없음,59,33,5,6,월세,500,50,
지식산업센터,500/50,"63/34m², 3/5층",정보없음,63,34,3,5,월세,500,50,
지식산업센터,"2억 5,000","194/107m², 5/8층",진택하이테크밸리,194,107,5,8,매매,,,"2억 5,000"
지식산업센터,"2,000/160","166/166m², 6/11층",정보없음,166,166,6,11,월세,"2,000",160,
지식산업센터,"4억 3,000","247/161m², 4/9층",정보없음,247,161,4,9,매매,,,"4억 3,000"
지식산업센터,4억,"168/133m², 6/13층",정보없음,168,133,6,13,매매,,,4억
지식산업센터,"4억 2,000","264/166m², 2/13층",정보없음,264,166,2,13,매매,,,"4억 2,000"
지식산업센터,"2억 2,000","88/49m², 3/7층",정보없음,88,49,3,7,매매,,,"2억 2,000"
지식산업센터,"2,000/150","88/49m², 3/7층",정보없음,88,49,3,7,월세,"2,000",150,
지식산업센터,"1,500/150","166/166m², 9/13층",정보없음,166,166,9,13,월세,"1,500",150,
지식산업센터,500/40,"56/27m², 4/5층",부천테크노파크,56,27,4,5,월세,500,40,
지식산업센터,"7,050/705","773/582m², B1/6층",인철테크노밸리,773,582,B1,6,월세,"7,050",705,
지식산업센터,"4억 3,000","254/166m², 8/9층",정보없음,254,166,8,9,매매,,,"4억 3,000"
지식산업센터,"2,000/150","254/166m², 8/9층",정보없음,254,166,8,9,월세,"2,000",150,
지식산업센터,"8억 3,000","527/349m², B1/9층",부천테크노파크,527,349,B1,9,매매,,,"8억 3,000"
지식산업센터,"4억 4,000","247/163m², 2/9층",부천테크노파크,247,163,2,9,매매,,,"4억 4,000"
지식산업센터,"2,000/150","264/166m², 13/13층",정보없음,264,166,13,13,월세,"2,000",150,
지식산업센터,"2,000/150","274/166m², 4/11층",정보없음,274,166,4,11,월세,"2,000",150,
지식산업센터,"8억 5,000","516/336m², 8/9층",정보없음,516,336,8,9,매매,,,"8억 5,000"
지식산업센터,"8억 3,000","508/336m², 8/9층",부천테크노파크,508,336,8,9,매매,,,"8억 3,000"
지식산업센터,500/55,"67/36m², 5/5층",정보없음,67,36,5,5,월세,500,55,
지식산업센터,"6,925/692","814/173m², 4/6층",인철테크노밸리,814,173,4,6,월세,"6,925",692,
지식산업센터,"1,000/120","189/125m², B1/9층",부천테크노파크,189,125,B1,9,월세,"1,000",120,
지식산업센터,500/50,"34/34m², 3/6층",정보없음,34,34,3,6,월세,500,50,
지식산업센터,"2,000/150","516/165m², 6/10층",정보없음,516,165,6,10,월세,"2,000",150,
지식산업센터,8억,"516/336m², 6/10층",정보없음,516,336,6,10,매매,,,8억
지식산업센터,"1,500/160","254/163m², 3/9층",정보없음,254,163,3,9,월세,"1,500",160,
지식산업센터,"2,000/120","146/81m², 3/7층",정보없음,146,81,3,7,월세,"2,000",120,
지식산업센터,"9억 2,000","545/343m², 4/13층",정보없음,545,343,4,13,매매,,,"9억 2,000"
지식산업센터,4억,"166/264m², 10/12층",정보없음,166,264,10,12,매매,,,4억
지식산업센터,4억,"264/166m², 9/13층",정보없음,264,166,9,13,매매,,,4억
지식산업센터,"8억 1,000","459/304m², 7/9층",부천테크노파크,459,304,7,9,매매,,,"8억 1,000"
지식산업센터,8억,"459/304m², 8/9층",부천테크노파크,459,304,8,9,매매,,,8억
지식산업센터,"7,050/705","773/582m², B1/6층",인철테크노밸리,773,582,B1,6,월세,"7,050",705,
지식산업센터,"6,920/692","814/572m², 4/6층",인철테크노밸리,814,572,4,6,월세,"6,920",692,
지식산업센터,"4억 2,000","247/163m², B1/9층",부천테크노파크,247,163,B1,9,매매,,,"4억 2,000"
지식산업센터,500/50,"63/34m², 4/5층",정보없음,63,34,4,5,월세,500,50,
지식산업센터,"4억 4,000","247/163m², 2/9층",부천테크노파크,247,163,2,9,매매,,,"4억 4,000"
지식산업센터,500/45,"63/34m², 3/5층",정보없음,63,34,3,5,월세,500,45,
